"Aggregate","Year","TotalCt","RawSpn","TotalRunMainAges","Total.Run","EnhSurplus","EffSpn","AgeComp","RunAge3","RunAge4","RunAge5","RunAge6","RunAge7","TotalSpnExp","ExpFactorLabel","SpnBaseCV","SpnAddCV","CtCV","SpnCVTotal","EffSpnSE","CtSE","RunSE","EffSpn_Lower","EffSpn_Upper","CT_Lower","CT_Upper","Run_Lower","Run_Upper","RecAge3","RecAge4","RecAge5","RecAge6","RecAge7","RecTotalNA","RecAgesUse","RecTotal","RpS","LogRpS","Spn","Rec","SpnExp","PercRecAge3","PercRecAge4","PercRecAge5","PercRecAge6","PercRecAge7","OddSpnVal","OddSpnFlag","OddRecVal","OddRecFlag","OddProdVal","OddProdFlag","OddExpVal","OddExpFlag","NumFlagsMain","NumFlagsAll"
"Nass",2012,274151,203028,NA,477179,0,203028,"NassAgg",0.013361839,0.089791555,0.654195617,0.242650989,0,1,"None",0.03,0.2,0.1,0.23,46696.44,27415.1,54149.2863912684,109635.12,296420.88,219320.8,328981.2,368880.427217463,585477.572782537,14787.348855456,89083.531972632,204619.24053228,44455.878081359,0,352945.999441727,352945.999441727,352945.999441727,1.73841046280182,0.552971168580843,203028,352945.999441727,1,0.0419,0.2524,0.5797,0.126,0,0.89,FALSE,0.58,FALSE,1.74,FALSE,1,FALSE,0,0
"Nass",2013,294447,210126,NA,504573,0,210126,"NassAgg",0.006493506,0.20211039,0.587662338,0.203733766,0,1,"None",0.03,0.2,0.1,0.23,48328.98,29444.7,56592.2314980634,113468.04,306783.96,235557.6,353336.4,391388.537003873,617757.462996127,18754.42773714,36036.182026614,118194.070790126,28189.82515536,NA,201174.50570924,201174.50570924,201174.50570924,0.957399397072423,-0.0435346317790726,210126,201174.50570924,1,0.0932,0.1791,0.5875,0.1401,NA,0.92,FALSE,0.33,FALSE,0.96,FALSE,1,FALSE,0,0
"Nass",2014,291828,260102,NA,551930,0,260102,"NassAgg",0.057093426,0.126297578,0.648788927,0.167820069,0,1,"None",0.03,0.2,0.1,0.23,59823.46,29182.8,66561.8673281602,140455.08,379748.92,233462.4,350193.6,418806.26534368,685053.73465632,23609.912425824,93171.001805955,133067.31406603,NA,NA,NA,NA,249848.228297809,NA,NA,260102,NA,1,0.0945,0.3729,0.5326,NA,NA,1.14,FALSE,NA,FALSE,NA,FALSE,1,FALSE,0,0
"Nass",2015,480153,389503,NA,869656,0,389503,"NassAgg",0.017003676,0.423713235,0.407628676,0.151654412,0,1,"None",0.03,0.2,0.1,0.23,89585.69,48015.3,101641.846140584,210331.62,568674.38,384122.4,576183.6,666372.307718833,1072939.69228117,60428.049638809,191642.53848767,NA,NA,NA,NA,NA,252070.588126479,NA,NA,389503,NA,1,0.2397,0.7603,NA,NA,NA,1.71,FALSE,NA,FALSE,NA,FALSE,1,FALSE,0,0
"Nass",2016,166021,276413,NA,442434,0,276413,"NassAgg",0.04238921,0.201348748,0.63583815,0.120423892,0,1,"None",0.03,0.2,0.1,0.23,63574.99,16602.1,65706.9941323608,149263.02,403562.98,132816.8,199225.2,311020.011735278,573847.988264722,24835.32229094,NA,NA,NA,NA,NA,NA,24835.32229094,NA,NA,276413,NA,1,1,NA,NA,NA,NA,1.21,FALSE,NA,FALSE,NA,FALSE,1,FALSE,0,0
"Nass",2017,141888,226758,NA,368646,0,226758,"NassAgg",0.064044944,0.097752809,0.55505618,0.283146067,0,1,"None",0.03,0.2,0.1,0.23,52154.34,14188.8,54049.9512143684,122449.32,331066.68,113510.4,170265.6,260546.097571263,476745.902428737,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,226758,NA,1,NA,NA,NA,NA,NA,1,FALSE,NA,FALSE,NA,FALSE,1,FALSE,0,0
"Nass",2018,92117,224132,NA,316249,0,224132,"NassAgg",0.191077441,0.294612795,0.373737374,0.140572391,0,1,"None",0.03,0.2,0.1,0.23,51550.36,9211.7,52366.9269006651,121031.28,327232.72,73693.6,110540.4,211515.14619867,420982.85380133,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,224132,NA,1,NA,NA,NA,NA,NA,0.98,FALSE,NA,FALSE,NA,FALSE,1,FALSE,0,0
"Nass",2019,134076,243659,NA,377735,0,243659,"NassAgg",0.065748004,0.507346522,0.352276898,0.074628576,0,1,"None",0.03,0.2,0.1,0.23,56041.57,13407.6,57623.0969822423,131575.86,355742.14,107260.8,160891.2,262488.806035515,492981.193964485,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,243659,NA,1,NA,NA,NA,NA,NA,1.07,FALSE,NA,FALSE,NA,FALSE,1,FALSE,0,0
"Skeena",1970,810078,678652,1488730,1547630.267,0,678652,"SkeenaAgg",0.107260761,0.598924729,0.29381451,0,0,1,"None",0.03,0.05,0.2,0.08,54292.16,162015.6,170870.39907727,570067.68,787236.32,486046.8,1134109.2,1205889.46884546,1889371.06515454,208349.999456767,832559.783785933,364350.663953408,0,0,1405260.44719611,1405260.44719611,1405260.44719611,2.07066426857374,0.72786945849165,678652,1405260.44719611,1,0.1483,0.5925,0.2593,0,0,0.83,FALSE,0.62,FALSE,2.07,FALSE,1,FALSE,0,0
"Skeena",1971,1169259,821850,1991109,1950072.706,0,821850,"SkeenaAgg",0.027998956,0.581431984,0.39056906,0,0,1,"None",0.03,0.05,0.2,0.08,65748,233851.8,242918.636311091,690354,953346,701555.4,1636962.6,1464235.43337782,2435909.97862218,256772.000646906,1127519.22081821,918877.070958832,0,0,2303168.29242395,2303168.29242395,2303168.29242395,2.80241928870712,1.03048307580178,821850,2303168.29242395,1,0.1115,0.4896,0.399,0,0,1,FALSE,1.02,FALSE,2.8,FALSE,1,FALSE,0,0
"Skeena",1972,1050252,697237,1747489,1922265.713,0,697237,"SkeenaAgg",0.13458077,0.220097511,0.645321719,0,0,1,"None",0.03,0.05,0.2,0.08,55778.96,210050.4,217330.308330066,585679.08,808794.92,630151.2,1470352.8,1487605.09633987,2356926.32966013,137396.000228379,544755.662559791,1291903.39204506,0,0,1974055.05483323,1974055.05483323,1974055.05483323,2.83125401381916,1.04071972793267,697237,1974055.05483323,1,0.0696,0.276,0.6544,0,0,0.85,FALSE,0.88,FALSE,2.83,FALSE,1,FALSE,0,0
"Skeena",1973,1631808,820196,2452004,2422071.401,34382.355,785813.645,"SkeenaAgg",0.086021411,0.47675435,0.437224239,0,0,1,"None",0.03,0.05,0.2,0.08,62865.0916,326361.6,332361.119411456,660083.4618,911543.8282,979084.8,2284531.2,1757349.16217709,3086793.63982291,255458.000481377,1129886.67955109,863533.74186711,0,0,2248878.42189958,2248878.42189958,2248878.42189958,2.86184699923297,1.05146722031775,785813.645,2248878.42189958,1,0.1136,0.5024,0.384,0,0,0.96,FALSE,1,FALSE,2.86,FALSE,1,FALSE,0,0
"Skeena",1974,1830945,723898,2554843,2719372.475,29780.355,694117.645,"SkeenaAgg",0.094423255,0.306158789,0.599417956,0,0,1,"None",0.03,0.05,0.2,0.08,55529.4116,366189,370375.349171138,583058.8218,805176.4682,1098567,2563323,1978621.77665772,3460123.17334228,47696.9994038511,263422.543842029,313467.397157449,0,0,624586.940403329,624586.940403329,624586.940403329,0.899828645622932,-0.105550927537315,694117.645,624586.940403329,1,0.0764,0.4218,0.5019,0,0,0.84,FALSE,0.28,FALSE,0.9,FALSE,1,FALSE,0,0
"Skeena",1975,696706,822633,1519339,1629265.885,133442.355,689190.645,"SkeenaAgg",0.084330005,0.692041263,0.223628732,0,0,1,"None",0.03,0.05,0.2,0.08,55135.2516,139341.2,149852.814409457,578920.1418,799461.1482,418023.6,975388.4,1329560.25618109,1928971.51381892,296273.99929086,2498755.15923677,1095404.46552467,0,0,3890433.6240523,3890433.6240523,3890433.6240523,5.64493098140109,1.73075797102575,689190.645,3890433.6240523,1,0.0762,0.6423,0.2816,0,0,0.84,FALSE,1.73,FALSE,5.64,FALSE,1,FALSE,0,0
"Skeena",1976,919078,575590,1494668,1719090.734,39682.555,535907.445,"SkeenaAgg",0.14860065,0.316885928,0.534513422,0,0,1,"None",0.03,0.05,0.2,0.08,42872.5956,183815.6,188749.130479696,450162.2538,621652.6362,551446.8,1286709.2,1341592.47304061,2096588.99495939,90508.9986057797,288606.571135609,411932.74756395,0,0,791048.317305339,791048.317305339,791048.317305339,1.47609130025305,0.389397580805249,535907.445,791048.317305339,1,0.1144,0.3648,0.5207,0,0,0.65,FALSE,0.35,FALSE,1.48,FALSE,1,FALSE,0,0
"Skeena",1977,1541097,951805,2492902,2469487.071,65463.755,886341.245,"SkeenaAgg",0.019314537,0.457539014,0.523146449,0,0,1,"None",0.03,0.05,0.2,0.08,70907.2996,308219.4,316270.522927642,744526.6458,1028155.8442,924658.2,2157535.8,1836946.02514472,3102028.11685528,233885.999339723,3182751.27427165,3021288.2525223,0,0,6437925.52613367,6437925.52613367,6437925.52613367,7.26348408409413,1.98285961511124,886341.245,6437925.52613367,1,0.0363,0.4944,0.4693,0,0,1.08,FALSE,2.86,FALSE,7.26,FALSE,1,FALSE,0,0
"Skeena",1978,758466,424075,1182541,1423230.285,125766.955,298308.045,"SkeenaAgg",0.208170106,0.185087787,0.606742107,0,0,1,"None",0.03,0.05,0.2,0.08,23864.6436,151693.2,153558.940281558,250578.7578,346037.3322,455079.6,1061852.4,1116112.40443688,1730348.16556312,155394.998164403,618161.648738459,1238673.8177529,0,0,2012230.46465576,2012230.46465576,2012230.46465576,6.74547836836167,1.90887240906655,298308.045,2012230.46465576,1,0.0772,0.3072,0.6156,0,0,0.36,FALSE,0.89,FALSE,6.75,FALSE,1,FALSE,0,0
